Id;PartNumber;MakersPartNumber;Description
1;06-5638;SSM4 3/;Speedometer head - MPH
2;06-8019;41;Main bulb (Europe, except France)
3;06-8020;411;Main bulb (France)
4;06-8024;3466;Light switch (Canada only)
5;06-8029;56515;STOP TAIL LAMP
6;06-8048;5452268;Light unit (Europe)
7;06-8058;54585314;Lens
8;14-0101;;"BOLT-1/4"" X 1/2"" UNF-HAF 0.438"""
9;14-0102;;"BOLTS-1/4"" X 5/8"" UNF-HAF 0.438"""
10;14-0103;;"BOLTS-1/4"" X 3/4"" UNF-HAF 0.438"""
11;14-0107;;Screw
12;14-0113;;"BOLTS-5/16"" X 5/8"" UNF-HAF 0.500"""
13;14-0114;;"BOLTS-5/16"" X 3/4"" UNF-HAF 0.500"""
14;14-0115;;"BOLTS-5/16"" X 7/8"" UNF-HAF 0.500"""
15;14-0116;;Bolt
16;14-0128;;"BOLTS-3/8"" X UNF-HAF 0.563"""
17;14-0129;;Bolt
18;14-0201;;Bolt
19;14-0206;;Bolt
21;14-0208;;"BOLTS-1/4"" X 2 1/4"" UNF-MLT 3/4""-HAF 0.438"""
23;14-0216;;"BOLTS-5/16"" X 1 1/8"" UNF-MLT 7/8""-HAF 0.500"""
25;14-0217;;"BOLTS-5/16"" X 1 1/4"" UNF-MLT 7/8""-HAF 0.500"""
26;14-0218;;Bolt
28;14-0219;;"BOLTS-5/16"" X 1 1/2"" UNF-MLT 7/8""-HAF 0.500"""
30;14-0220;;"BOLTS-5/16"" X 1 3/4"" UNF-MLT 7/8""-HAF 0.500"""
31;14-0221;;Bolt
32;14-0225;;"BOLTS-5/16"" X 3"" UNF-MLT 7/8""-HAF 0.500"""
33;14-0228;;"BOLTS-5/16"" X 4"" UNF-MLT 7/8""-HAF 0.500"""
34;14-0230;;Bolt
35;14-0232;;Bolt
37;14-0234;;"BOLTS-3/8"" X 1 3/4"" UNF-MLT 1""-HAF 0.563"""
38;14-0235;;Bolt
39;14-0236;;"BOLTS-3/8"" X 2 1/4"" UNF-MLT 1""-HAF 0.563"""
40;14-0237;;Pinch bolt
41;14-0239;;"BOLTS-3/8"" X 3"" UNF-MLT 1""-HAF 0.563"""
42;14-0240;;"BOLTS-3/8"" X 3 1/4"" UNF-MLT 1""-HAF 0.563"""
44;14-0241;;"BOLTS-3/8"" X 4"" UNF-MLT 1""-HAF 0.563"""
45;14-0242;;"BOLTS-3/8"" X 4"" UNF-MLT 1""-HAF 0.563"""
46;14-0251;;"BOLTS-7/16"" X 2 3/4"" UNF-MLT 1 1/4""-HAF 0.625"""
47;14-0254;;Bolt
48;14-0259;;Bolt
49;14-0261;;Bolt
50;14-0301;;"NUTS-1/4"" UNF-HAF 0.224""-Thick 0.438"" Plain"
52;14-0302;;"NUTS-5/16"" UNF-HAF 0.271""-Thick 0.500"" Plain"
53;14-0304;;Nutd
54;14-0401;;"NUTS-1/4"" UNF-HAF 0.161""-Thick 0.438"""
55;14-0402;;"NUTS-5/16"" UNF-HAF 0.192""-Thick 0.500"" Lock"
56;14-0403;;"NUTS-3/8"" UNF-HAF 0.224""-Thick 0.563"" Lock"
57;14-0604;;"SCREWS-1/4"" X 1/2"" UNF-Cheese head-Cross Recess"
58;14-0701;;"NUTS-1/4"" UNF-HAF 0.203""-Thick 0.438"""
59;14-0702;;Nut, Self-Locking
60;14-0703;;"NUTS-3/8"" UNF-HAF 0.296""-Thick 0.563"" Philidas"
61;14-1019;;Cap screw
62;14-1034;;Cap screw
63;14-1201;;"NUTS-1/4"" UNF-HAF 0.285""-Thick 0.438"" Stiffnut."
64;14-1202;;"NUTS-5/16"" UNF-HAF 0.335""-Thick 0.500"" Stiffnut."
65;14-1203;;Nut
66;14-1301;;"NUTS-1/4"" UNF-HAF 0.245""-Thick 0.438"" Stiffnut."
67;14-1302;;"NUTS-5/16"" UNF-HAF 0.290""-Thick 0.500"" Stiffnut."
68;14-1303;;"NUTS-3/8"" UNF-HAF 0.320""-Thick 0.563"" Stiffnut."
69;14-1304;;"NUTS-7/16"" UNF-HAF 0.275""-Thick 0.688"" Stiffnut."
70;14-1305;;"NUTS-1/2"" UNF-HAF 0.435""-Thick 0.750"" Stiffnut."
71;14-1307;;"Nut (5/8"" UNF self locking)"
72;14-1401;;Stud
73;14-1445;;Stud
74;14-1901;;Nut
75;14-1902;;"NUTS-5/16"" UNF-HAF 0.361""-Thick 0.500"" Nyloc"
76;14-1903;;"NUTS-3/8"" UNF-HAF 0.375""-Thick 0.563"" Nyloc"
77;14-2205;;Screw
78;14-6101;;Bolt (7/16 in. U. H.)
79;14-6102;;"BOLTS-1/4"" X 5/8"" UNC-HAF 0.438"""
80;14-6103;;Set screw
81;14-6113;;Bolt
82;14-6114;;Bolt
83;14-6115;;"BOLTS-5/16"" X 7/8"" UNC-HAF 0.500"""
84;14-6220;;Bolt
85;14-6223;;Bolt
86;14-6242;;Bolt
87;14-6505;;"SCREWS-1/4"" X 7/8"" UNC-Countersunk (82"")-Slot"
88;14-6606;;Set screw
89;14-6607;;"SCREWS-1/4"" X 7/8"" UNC-Cheese head-Cross Recess"
90;14-6608;;"SCREWS-1/4"" X 1"" UNC-Cheese head-Cross Recess"
91;14-6609;;"SCREWS-1/4"" X 1 1/4"" UNC-Cheese head-Cross Recess"
92;14-6620;;Screw
93;14-7019;;"SCREWS-5/16"" X 7/8"" UNC-Socket head-Hex. Socket"
94;14-7024;;"SCREWS-5/16"" X 2"" UNC-Socket head-Hex. Socket"
95;14-7804;;Screw
96;19-1191;54581638;Lens
97;19-1284;6 513;HEADLAMP COMPLETE (Europe)
98;19-1377;56559;FLASHER LAMP
99;19-1961;3 781;Handlebar switch, right hand
100;19-1962;54962258A;Main Wiring harness (Not illustrated)
101;19-1963;6 6 0269;Stanchion, flasher lamp rear
102;19-1964;45223;Ignition coil (17-M-12)
103;19-1965;3 447;HANDLEBAR SWITCH, LEFT HAND
104;19-2452;L93 /93;CARBURETTOR, LEFT
105;19-2453;R93 /92;CARBURETTOR, RIGHT
106;19-2454;R93 /94;CARBURETTOR
107;19-6901;328355;Fluid seal
108;21-0501;;Nut
109;21-0541;;Bolt
110;21-0543;;Plug
111;21-0544;;Nut, Domed
113;21-0547;;Stud
114;21-0550;;Nut
115;21-0578;;Screw, Grub
116;21-0586;;Nut
117;21-0589;;Bolt
118;21-0594;;Nut
119;21-0648;;"WASHERS - SPRING-Thick 0.080""-i/d 5/16"" clearance-o/d 1/2""-o/a height 5/32"""
120;21-0669;;Stud
121;21-0692;;Nut
123;21-0778;;Nut
125;21-1822;;"BOLTS-5/16"" X 1/2"" UNF-MLT 27/64""-HAF 0.500"""
126;21-1823;;Bolt
127;21-1852;;"NUTS-5/16"" UNF-HAF 0.330""-Thick 0.437"" Philidas"
128;21-1863;;Stud
129;21-1864;;Stud
130;21-1865;;Stud
131;21-1870;;Bolt
132;21-1871;;Plug
133;21-1872;;Plug
134;21-1875;;Bolt
135;21-1876;;Stud
136;21-1877;;Nut
137;21-1879;;Screw, Countersunk
138;21-1906;;Nut
140;21-1908;;Nut
142;21-1910;;"BOLTS-3/8"" X 13/16"" UNF-MLT 13/16""-HAF 0.565"""
143;21-1914;;"NUTS-3/4"" UNEF-HAF 0.250""-Thick 1.125"" Plain"
144;21-1916;;"SCREWS-1/4"" X 1 1/8"" UNC-Cheese head-Cross Recess"
145;21-1917;;"SCREWS-1/4"" X 2 5/8"" UNC-Cheese head-Cross Recess"
146;21-1918;;"SCREWS-1/4"" X 2 3/8"" UNC-Cheese head-Cross Recess"
147;21-1919;;"BOLTS-5/16"" X 1 5/8"" UNC-MLT 7/8""-HAF 0.500"""
148;21-1920;;"SCREWS-1/4"" X 21/64"" UNC-Hex. Head"
149;21-1929;;"SCREWS-1/4"" X 17/32"" UNC-Countersunk (82"")-Slot"
150;21-1996;;Stud
151;21-2010;;"BOLTS-1/4"" X 13/16"" UNF-MLT 3/8""-HAF 0.375"""
152;21-2012;;"NUTS-7/8"" UNEF-HAF 0.438""-Thick 1.313"" Plain"
153;21-2013;;"NUTS-3"" UNEF-HAF 0.313""-Thick 1.313"" Plain"
154;21-2014;;"NUTS-3/4"" UNEF-HAF 0.438""-Thick 1.313"" Plain"
155;21-2064;;Screw
156;21-2077;;Pivot bolt
157;21-2079;;"SCREWS-No.10 X 1/2"" UNF-Cheese head-PoziDrive"
158;21-2087;;Pivot bolt
159;21-2095;;Bolt
160;21-2102;;Stud
161;21-2109;;Stud
162;21-2112;;Bolt
163;21-2120;;Bolt
164;21-2157;;Bolt
165;21-2162;;Screw
166;21-2177;;Nut
167;21-2182;;Nut
168;21-2183;;"stud (1 3/8"" O.A.)"
169;21-2189;;Stud
170;21-2191;;Pivot screw
171;21-2192;;Screw
172;21-2194;;Screw
173;21-2197;;Stud
174;21-2198;;Stud
175;21-2199;;Stud
176;21-2200;;"Stud (5/16 "")"
177;21-2201;;"Stud (3/8"")"
178;21-2204;;Socket nut (3/8 in.)
179;21-2205;;Socket nut (5/16 in.)
180;21-2206;;Bolt
181;21-2207;;Bolt
182;21-2225;;Stud
183;21-2230;;Screw
184;21-7001;;Bolt
185;21-7002;;Bolt
186;21-7004;;Bolt
187;21-7005;;Bolt
188;21-7006;;"Adjuster nut, push rod (5/16"" UNF shouldered)"
189;21-7007;;Bolt
190;21-7009;;Nut
191;21-7010;;Screw
192;37-0653;;Bearing - right (metric 120)
193;37-1237;;Dust cover - right
194;37-2027;;"WASHERS - PLAIN-Thick 0.092""-i/d 0.531""-o/d 1.031"""
195;37-2294;;Spoke nipple
196;37-2331;;Serrated washer (Flasher lamp stanchion)
197;37-2338;;Distance piece (Torque stay)
198;37-3468;;Security bolt
199;37-3742;;Adjuster - chain
200;37-3761;;O' ring, ignition timing hole plug
201;37-3965;;Spindle
202;37-3969;;Balance weight - short (As required)
203;37-3970;;Balance weight - long (As required)
204;37-4126;;Hub - left half
205;37-4127;;Hub - right half
206;37-4129;;Rim
207;37-4130;;Spoke - inner
208;37-4131;;Spoke - outer
209;37-4132;;Spindle
210;37-4133;;Nut, wheel spindle
211;37-4134;;Lock ring
212;37-4135;;Grease retainer
213;37-4141;;FRONT WHEEL COMPLETE
214;37-4143;;RIM, SPOKES AND HUB ASSEMBLY
215;37-4275;;Disc
216;37-7001;;Hub - Ieft half
217;37-7002;;Hub - right half
218;37-7003;;Spacer, - right bearing
219;37-7004;;Driving ring - speedometer unit
220;37-7005;;Spacer tube - bearings
221;37-7006;;Spacer - left bearing
222;37-7007;;Spoke, outer - right
223;37-7008;;Spoke, outer - left
224;37-7009;;Spoke, inner - right and left
225;37-7010;;Centre spacer- rear hub
226;37-7016;;Sprocket - rear wheel 47T
227;37-7017;;RIM, SPOKES AND HUB ASSEMBLY
228;37-7018;;Rim -W.M.3 - 19
229;37-7019;;REAR WHEEL ASSEMBLY
230;37-7020;;Rear caliper mounting plate (Replaces 37-7014. Order kit 00-4409 when servicing earlier machines)
231;37-7021;;Washer - speedometer drive gearbox * (* Used only with latest caliper plate 37-7020)
232;57-0023;;Bushing
233;57-0031;;Kickstarter return spring
234;57-0047;;Kickstarter spring anchor pin
235;57-0280;;Circlip - right
236;57-0394;;Roller
237;57-0404;;Quadrant return spring
238;57-0405;;Plunger spring
239;57-0407;;Guide plate
240;57-0730;;Kickstart pinion
241;57-0731;;Kickstart ratchet
242;57-0912;;Locating peg (L/S at thrust washer)
243;57-0989;;Hollow dowel
244;57-1070;;Bearing (metric 125)
245;57-1167;;Pedal locating spring
246;57-1250;;Pinion spring
247;57-1257;;Fibre washer
248;57-1363;;Driven plate
249;57-1606;;Needle roller bearing, layshaft
250;57-1646;;Rubber cover
251;57-1710;;Lever shaft
252;57-1712;;Return spring
253;57-1722;;Drive rubber (large)
254;57-1723;;Rebound rubber (small)
255;57-1736;;Clutch operating rod
256;57-1920;;Blanking plug (Reference only)
257;57-1931;;Spring cup
258;57-1955;;Oil seal housing
259;57-1956;;Oil seal
260;57-1962;;Washer
261;57-1963;;Pinion sleeve
262;57-2159;;Adjuster pin
263;57-2166;;Filler plug
264;57-2167;;Drain plug (with level tube)
265;57-2173;;Kickstarter crank
266;57-2240;;Tab washer
267;57-2259;;Drain and adjuster plug
268;57-2330;;Pedal rubber
269;57-2331;;Pedal rubber, centre stand
270;57-2450;;Pedal rubber
271;57-2526;;Pressure nut
272;57-3673;;Plain washer
273;57-3762;;Abutment for clutch cable
274;57-3929;;Hub
275;57-3931;;Thrust washer
276;57-3988;;Bush
277;57-4113;;Circlip
278;57-4117;;Kickstarter quadrant
279;57-4356;;Cotter pin c/w nut and washer
280;57-4376;;Mainshaft 4th gear
281;57-4377;;MAINSHAFT 3rd GEAR
282;57-4379;;Bush (Reference only)
283;57-4396;;Locknut
284;57-4403;;Gearchange quadrant plunger
285;57-4432;;MAINSHAFT
286;57-4435;;Clutch shock absorber assembly complete
287;57-4436;;Inner plate
288;57-4437;;Outer plate
289;57-4438;;Centre
290;57-4587;;CLUTCH LEVER ASSEMBLY (18-24 inclusive)
291;57-4588;;Clutch lever
292;57-4589;;Thrust plate
293;57-4590;;Pressure plate
294;57-4636;;Shock absorber spider
295;57-4640;;Sprocket and housing
296;57-4644;;Spring
297;57-4647;;Layshaft 3rd gear
298;57-4653;;Mainshaft 1st and 2nd gear
299;57-4654;;LAYSHAFT 1st GEAR
300;57-4656;;Bush
301;57-4657;;LAYSHAFT 2nd GEAR
302;57-4659;;Bush
303;57-4661;;Driving dog
304;57-4754;;Screwed pin
305;57-4756;;Kickstarter axle
306;57-4763;;Driving plate (bonded)
307;57-4781;;MAINSHAFT HIGH GEAR ASSEMBLY (C/W HIGH GEAR BEARING)
308;57-4782;;Gearbox sprocket - 20T
309;57-4787;;Layshaft 4th gear (Reference only)
310;57-4791;;Layshaft high gear (Reference only)
311;57-4794;;Washer
312;57-4900;;LAYSHAFT
313;57-4903;;Clutch assembly complete
314;57-4909;;Lock washer
315;57-7003;;Foot change spindle
316;57-7008;;Gearchange spindle bush
317;57-7009;;Bushing
318;57-7010;;Gearchange pedal
319;57-7014;;GEARBOX OUTER COVER
320;57-7017;;Kickstarter pedal
321;57-7018;;FOLDING KICKSTARTER ASSEMBLY
322;57-7021;;Gearchange quadrant assembly
323;60-0262;WC2;Plug cover (CHAMPION)
324;60-0291;;Tool roll
325;60-0494;;Circlip
326;60-0622;;Ignition key (state serial number)
327;60-0623;;Key (state serial no.)
328;60-0683;;Throttle cable (twist grip to junction block) (T140V - LOW BAR)
329;60-0685;;Junction box throttle and air control (T140V - UNIVERSAL)
330;60-0732;;Throttle cable COMPLETE (T140V - LOW BAR)
331;60-0733;;Throttle cable (junction block to carburetor)
332;60-0746;;Throttle cable COMPLETE (TR7RV - LOW BAR)
333;60-0767;;Screw driver
334;60-0777;;Cable clip
335;60-0911;N3;Sparking plug (CHAMPION)
336;60-0971;;Box spanner
337;60-0974;;Tyre valve key
338;60-0978;;Cable clip
339;60-1050;;Plug spanner
340;60-1806;;Throttle cable COMPLETE (TR7RV - HIGH BAR)
341;60-1841;;Grease nipple
342;60-1907;;Ring spanner
343;60-2084;;Spanner - open ended
344;60-2087;;Check wire
345;60-2118;;Rear chain, 5/8 in. x 3/8 in. x 107 links
346;60-2138;;Timing label forC.B. cover
347;60-2184;;Damper unit spanner
348;60-2252;;Clip - breather pipe - front and rear
349;60-2320;;Washer
351;60-2321;;Plain washer
352;60-2329;;Plain washer
353;60-2330;;Plain washer
354;60-2331;;Washer
355;60-2332;;Plain washer
356;60-2333;;Washer
357;60-2347;;Washer
358;60-2363;;Valve ball (7/32 in. dia.)
359;60-2364;;Steel ball, 1/4 in. diam.
360;60-2368;;Ball, 3/8 in. diam.
361;60-2381;;Screw - self tapping
362;60-2391;;Washer
363;60-2416;;Washer
364;60-2417;;Washer (Hinge Attachment)
365;60-2419;;Washer (Bracket to frame)
366;60-2427;;Spring washer for bolt
367;60-2428;;Spring washer
368;60-2438;;Washer (All models - Cover to body)
369;60-2569;;Tank badge
370;60-2599;;Licence holder (Available)
371;60-2600;;Rubber cup
372;60-2640;;0! ring shift spindle
373;60-2701;;Split pin (5/64 in. x 1/2 in.) (Reference only)
374;60-2720;;Split pin (3/32 in. x 1/2 in.) (Reference only)
375;60-3161;;Grommet (Horn attachment)
376;60-3213;;Speedometer drive unit
377;60-3355;;O-ring
378;60-3361;;"Transfer ""Made in England"""
379;60-3494;;Circlip
380;60-3500;;Oil seal
381;60-3511;;Needle roller bearing
382;60-3512;;Oil seal, gearbox sprocket
383;60-3539;;Screw (All models - left assy to right assy)
384;60-3548;;Sealing ring
385;60-3552;;Mainshaft bearing (Hoffman LS8 2 SPOT)
386;60-3567;;AIR CONTROL LEVER
387;60-3585;;Adjuster
388;60-3586;;Lockring
389;60-3614;54386637;Spring (Flasher unit attach.)
390;60-3616;;O' ring
391;60-3719;;Oil pressure switch
392;60-3748;;Decal '5 speed' (Not illus.)
393;60-3761;;Self locking nut
394;60-3891;MW1/1 /51/1;Plug cover, suppressed (FRANCE) (MERIT-WORKE)
395;60-3896;;Screw
396;60-3925;;Clutch cable COMPLETE ( HIGH BAR)
397;60-3957;;SUSPENSION UNIT (Girling 64052564)
398;60-3963;;Washer
400;60-3975;;Clip (TR7RV)
401;60-4101;4823432;CALIPER
402;60-4102;4222979;MASTER CYLINDER
403;60-4103;;Grommet, flasher wire (Not illus.)
404;60-4125;;Primary chain, 3/8 in. Triplex x 84 links
405;60-4126;;AIR CONTROL CABLE COMPLETE (T140V - UNIVERSAL)
406;60-4127;;Air cable, lever to junction box (T140V - UNIVERSAL)
407;60-4128;;Air cable, junction box to carburetor (T140V - UNIVERSAL)
408;60-4150;;Name plate
409;60-4152;;Rubber plug
410;60-4153;;Rubber bush
411;60-4154;;Spire nut (Name plate attachment)
412;60-4167;;Main bearing, right (RHP5/6306)
413;60-4168;;Clutch cable COMPLETE (LOW BAR)
414;60-4175;KL56612;Hose, bottom yoke/fork leg
415;60-4176;KL585 5;Hose, master cylinder/top yoke (For high handlebar)
416;60-4178;ZTA2 7 N;Pipe, fork leg/caliper
417;60-4179;ZT2 71N;Pipe, top yoke/bottom yoke
418;60-4180;K241 3;Locknut
419;60-4180;;Locknut
420;60-4182;;Copper gasket
421;60-4183;AP4 32;Banjo bolt
422;60-4184;KL44518;Sealing washer
423;60-4186;AP3187/81;Rubber boot
424;60-4194;;Air control cable COMPLETE (TR7RV - UNIVERSAL)
425;60-4206;;Front brake lever assembly
426;60-4245;;Washer
427;60-4246;;Plain washer
428;60-4247;;Plain washer
429;60-4248;;Washer
430;60-4250;;Spring washer
431;60-4251;;Washer (Motor to frame centre bottom)
432;60-4253;;Key
433;60-4254;;Cable clip
434;60-4255;;Hammer-drive screw
435;60-4258;;Cable clip
436;60-4260;;Spring, washer
437;60-4265;;Element (All models)
438;60-4266;3634;Cover, bleed nipple (GIRLING PART)
439;60-4328;;Washer, paper
440;60-4365;384724;Filler cap
441;60-4366;3818747;Diaphragm
442;60-4374;3855/814;O-ring
443;60-4384;;"Motif ""Tiger 750"" (TR7RV)"
444;60-4385;;"Motif ""Bonneville 750"" (T140V)"
445;60-4397;3251/796;Body, reservoir
446;60-4398;3517/221;Distance piece
447;60-4399;3512/3 5;Washer
448;60-4401;4211127;MASTER CYLINDER COMPLETE
449;60-4409;92 62 5;Hose, reservoir to master cylinder
450;60-4428;;Ear clamp, oil return pipe
451;60-4429;;Ear clamp, oil feed pipe
452;60-4440;;Grommet, flasher wires (Not illus.)
453;60-4511;;Gas tap - main
454;60-4512;;Gas tap-reserve
455;60-4619;KL563;Hose, master cylinder/top yoke (For low handlebar)
456;60-7001;;Throttle cable (twist grip to junction block) (T140V - HIGH BAR)
457;60-7002;;Throttle cable COMPLETE (T140V - HIGH BAR)
458;60-7003;;Decal, ignition switch (Not illustrated)
459;60-7004;;Decal, warning lights (Not illustrated)
460;60-7005;;Decal, light switch (Not illustrated)
461;60-7007;ZTA2281;Pipe, hose to caliper
462;60-7010;RSM3 6/;Tachometer head
463;60-7011;4111812647;Trip control
464;60-7012;DF911 /;Speedometer cable
465;60-7013;DF9111/ 3;Tachometer cable
466;60-7014;364/18;TWIST GRIP (T140V)
467;60-7016;;Sealing washer
468;60-7018;5442 128;Condenser
469;60-7019;;TOOKLIT COMPLETE
470;60-7020;;Tommy bar, for rear wheel and box spanner
471;60-7021;;CLUTCH LEVER ASSEMBLY COMPLETE
472;60-7022;;Handlebar bracket, clutch lever
473;60-7023;;Clutch lever blade
474;60-7024;;Handlebar clamp for bracket
475;60-7025;;"Screw, handlebar clamp 5/8"" x 1BA"
476;60-7026;;Pivot pin
477;60-7027;SSM4 3/ 1;Speedometer head - KPH
478;60-7028;;Hose, master cylinder to pipe
479;60-7030;;Clip, hose
480;70-0375;;Intermediate wheel spindle
481;70-0400;;Intermediate wheel bush
482;70-0403;;Valve spring
483;70-0470;;Lock nut
485;70-0489;;Circlip
486;70-0495;;Drive block
487;70-1330;;Thrust washer (3/8 in.)
488;70-1335;;Copper washer
489;70-1457;;Rocker (right exhaust, left inlet)
490;70-1458;;Rocker (left exhaust, right inlet)
491;70-1513;;Adjusting pin
492;70-1532;;Hollow dowel, tappet oil feed
493;70-1543;;Top collar
494;70-1558;;Camshaft key
495;70-1574;;Spring washer
496;70-1575;;Thrust washer (5 in.)
498;70-1580;;Key
499;70-1612;;Serrated/Shakeproof washer
500;70-2288;;Serrated washer, hose to bracket
501;70-2360;;Screwed plug
502;70-2441;;Copper washer
503;70-2879;;Main bearing, left (RM11L. )
504;70-2904;;Exhaust valve
505;70-3135;;Rocker spindle bush
506;70-3300;;Clamping washer
507;70-3302;;Washer
508;70-3446;;Washer
509;70-3586;;Big end bearing (Available in -.010 in. and - .020 in. undersizes)
510;70-3768;;D-washer
513;70-3789;;Cover plate
514;70-3821;;Countersunk screw
515;70-3887;;Serrated washer
516;70-3902;;Plug, crankshaft oilway
517;70-3903;;Oil tube
518;70-3975;;Tab washer
519;70-4016;;Patent plate
520;70-4144;;Rubber grommet
521;70-4152;;Tie rod
522;70-4221;;Inner valve spring
523;70-4538;;Scavenge pipe (Reference only)
524;70-4564;;Timing pinion
525;70-4568;;Oil seal
526;70-4569;;Circlip
527;70-4603;;Inlet valve
528;70-4705;;Clip
529;70-4707;;Rubber grommet
